,Country,City,Latitude,Longitude,Current Temp(c),Max Temp(c),Humidity (%),Cloudiness,Windspeed (km/h)
251,DK,Lunderskov,55.4837,9.2992,5.92,7.2,81,22,9.251999999999999
252,VE,Barinitas,8.7622,-70.4111,23.84,23.84,81,91,6.8759999999999994
253,RU,Novonukutskiy,53.7002,102.7117,-4.92,-4.92,80,100,19.224
254,AU,Stawell,-37.05,142.7667,14.83,14.83,63,63,5.904
255,UA,Komyshany,46.6372,32.5072,11.72,11.72,74,85,3.168
256,PH,Maragondon,14.2333,120.7167,26.92,26.96,75,73,16.812
257,AR,Luján,-34.5703,-59.105,19.44,21.08,68,22,19.908
258,PH,Castañas,13.8822,121.5517,27.83,27.83,76,90,9.504000000000001
259,UA,Zdolbuniv,50.5206,26.2425,10.35,10.35,92,98,13.607999999999999
260,RO,Necşeşti,44.25,25.15,14.61,14.61,82,100,10.584
261,SI,Lovrenc na Pohorju,46.5406,15.3931,8.06,9.63,77,97,8.496
262,US,Lakeville,44.6497,-93.2427,7.47,8.32,67,100,29.628000000000004
263,ID,Sibolga,1.7427,98.7792,24.77,24.77,89,85,5.436
264,RU,Bazarnyy Syzgan,53.7512,46.7535,9.94,9.94,87,100,9.432
265,AZ,Khojaly District,39.913,46.7903,13.88,13.88,82,100,3.8520000000000003
266,RO,Bradu,44.7833,24.9,13.25,13.25,88,95,13.212
267,AT,Jenbach,47.4013,11.7406,3.27,4.43,67,100,4.6080000000000005
268,PG,Wabag,-5.4781,143.7021,16.06,16.06,83,100,2.3400000000000003
269,PY,Ypané,-25.45,-57.5333,27.97,27.97,62,57,20.196
270,RU,Sura,53.8879,45.7419,10.32,10.32,95,100,9.036
271,RU,Morozovsk,48.3539,41.8261,9.74,11.66,84,59,13.644
272,MX,Tacotalpa,17.6,-92.8167,33.94,33.94,41,9,8.028
273,IN,Kulti,23.7333,86.85,27.11,27.11,25,29,7.596
274,ID,Galesong,-5.3166,119.3661,24.01,24.01,80,67,7.596
275,IN,Jambusar,22.05,72.8,29.62,29.62,32,0,17.712
276,BR,Irati,-25.4672,-50.6511,16.67,16.67,95,0,4.32
277,IN,Khudāganj,28.15,79.7167,26.78,26.78,20,0,11.124
278,MZ,Pemba,-12.974,40.5178,25.58,25.58,86,100,6.696000000000001
279,ES,Palma del Río,37.7002,-5.2812,11.18,11.18,81,63,3.384
280,BR,Taubaté,-23.0264,-45.5553,20.34,20.34,96,2,2.3760000000000003
281,DE,Siegburg,50.8,7.2,9.8,10.57,88,20,5.5440000000000005
282,JP,Koga,33.7333,130.4667,18.74,20.01,80,75,3.708
283,TJ,Hisor,38.525,68.5512,10.86,10.86,68,21,4.392
284,ID,Babat,-7.1128,112.1635,24.22,24.22,93,95,6.192
285,HT,Saint-Marc,19.1082,-72.6938,26.56,26.56,66,100,5.4
286,RO,Butimanu,44.6833,25.9,13.55,15.86,74,97,8.712
287,RU,Churapcha,62.0025,132.4325,-1.89,-1.89,79,80,0.7200000000000001
288,BR,Paulo Ramos,-4.2167,-45.1833,23.28,23.28,95,32,1.4040000000000001
289,RO,Halmeu,47.9667,23.0167,12.39,13.38,94,100,10.764000000000001
290,IN,Nīlokheri,29.8333,76.9167,26.34,26.34,18,11,12.132000000000001
291,SN,Saint-Louis,16.3333,-15.0,30.11,30.11,20,0,16.56
292,CH,Sion,46.2291,7.3594,10.43,11.59,77,75,0.0
293,FR,Tournefeuille,43.5887,1.3192,9.28,9.77,94,0,7.416
294,IN,Kharhiāl,20.2833,82.7667,29.13,29.13,28,2,6.732
295,IR,Ashtian,34.5217,50.0019,12.65,12.65,40,97,2.9160000000000004
296,TZ,Tukuyu,-9.25,33.65,15.94,15.94,96,100,2.3760000000000003
297,CA,Matagami,49.7502,-77.6328,8.06,8.06,39,100,27.791999999999998
298,RO,Bistreț,43.9,23.5,14.73,14.73,81,77,5.076
299,IN,Pālkonda,18.6,83.75,27.67,27.67,76,21,1.548
300,HN,San Vicente Centenario,14.8833,-88.2833,25.63,25.63,83,82,1.08
301,PE,San Isidro,-12.1167,-77.05,16.77,16.77,88,40,16.668
302,PH,Getulio,10.747,122.666,27.29,27.29,81,84,17.532
303,ES,Tarifa,36.0139,-5.607,13.01,13.01,76,97,9.756
304,BR,Cruzeiro,-22.5761,-44.9628,18.93,18.93,97,34,3.024
305,BR,Juatuba,-19.9519,-44.3428,23.65,23.65,60,94,6.984
306,TZ,Ndungu,-4.3667,38.05,21.54,21.54,96,98,1.4400000000000002
307,DE,Wuppertal,51.2667,7.1833,9.36,10.98,87,98,6.264
308,IN,Shamsābād,27.0167,78.1333,29.41,29.41,15,0,7.524
309,RO,Băbiciu,44.0333,24.5667,14.68,14.68,83,84,6.156
310,IN,Dirba,30.0667,75.9833,26.39,26.39,20,1,10.620000000000001
311,TH,Ban Bung,18.3081,100.7044,25.95,25.95,68,15,3.9600000000000004
312,CO,Barranco de Loba,8.946,-74.1065,26.21,26.21,85,72,4.788
313,PH,Gammad,17.7104,121.7437,26.04,26.04,81,5,9.107999999999999
314,MX,San Pedro Arriba,19.4822,-99.5658,16.77,22.45,45,100,11.124
315,US,Falls Church,38.8823,-77.1711,23.2,25.94,57,75,22.212
316,HU,Bekes,46.75,21.0,11.66,11.66,90,67,10.728
317,PE,San Isidro,-12.1167,-77.05,16.77,16.77,88,40,16.668
318,IN,Kīl Bhuvanagiri,11.4667,79.6333,27.07,27.07,80,52,6.84
319,US,Kingsport,36.5484,-82.5618,27.6,28.59,34,0,12.96
320,US,Bessemer,33.4018,-86.9544,27.09,28.1,51,0,9.251999999999999
321,GR,Tholos,40.9999,23.7823,12.51,12.51,77,62,1.9440000000000002
322,US,Woonsocket,42.0029,-71.5148,10.67,12.41,42,100,7.416
323,BE,De Haan,51.272,3.0429,8.98,10.03,71,20,25.92
324,CM,Bakong,5.0935,10.4852,18.47,18.47,94,100,2.7720000000000002
325,CL,Concepción,-36.827,-73.0498,11.89,11.89,82,20,12.96
326,UA,Kurisove,46.9695,30.9591,11.27,11.27,76,78,11.124
327,IN,Murbād,19.25,73.4,27.84,27.84,50,5,3.3120000000000003
328,RU,Zelenogorsk,56.1147,94.5861,-2.2,-2.2,78,97,13.824
329,UA,Nosivka,50.9315,31.5828,8.88,8.88,75,27,12.636
330,GR,Agios Thomas,38.2814,23.5882,15.6,18.18,65,0,11.124
331,PH,Anticala,9.0044,125.6453,26.21,26.21,86,91,4.248
332,IN,Pālamedu,10.1167,78.1167,26.64,26.64,80,65,5.867999999999999
333,BA,Prozor,43.8222,17.6092,7.1,7.1,94,18,11.088000000000001
334,CN,Suzhou,31.3114,120.6181,17.84,17.84,95,100,15.876000000000001
335,HU,Kelebia,46.1968,19.6166,10.76,10.76,74,83,6.228
336,RO,Luduş,46.4833,24.1,11.6,12.46,88,75,27.791999999999998
337,US,Millville,39.4021,-75.0393,15.04,18.32,58,0,18.503999999999998
338,IN,Someshwar,13.5,75.0667,24.82,24.82,94,25,1.512
339,SE,Boden,65.8252,21.6886,0.0,0.0,97,100,2.196
340,TZ,Chanika,-5.4167,38.0167,19.36,19.36,99,100,3.24
341,PH,Makir,7.0308,124.3042,25.73,25.73,89,51,4.644
342,NG,Fowa,8.9167,6.4,26.52,26.52,70,99,7.524
343,RU,Susanino,58.1461,41.5872,6.43,6.43,86,100,15.120000000000001
344,IT,Pachino,36.7186,15.0907,14.78,14.78,70,18,6.768
345,RO,Ciuperceni,43.7667,24.95,14.94,14.94,80,99,7.272
346,ID,Tambun,-6.2641,107.0712,28.28,28.86,85,78,2.16
347,US,Kansas City,39.0997,-94.5786,19.18,20.16,39,0,14.832
348,UA,Starokostiantyniv,49.7576,27.2034,11.08,11.08,79,28,25.524
349,RO,Blejoi,45.0,26.0167,13.95,13.99,77,99,5.328
350,BR,Brasília de Minas,-16.2064,-44.4333,25.31,25.31,40,81,11.34
351,IN,Thākurganj,26.45,88.1333,24.57,24.57,61,0,12.204
352,CN,Danjiangkou,32.5428,111.5086,18.28,18.28,83,100,15.947999999999999
353,IN,Fatwa,25.5167,85.3167,29.05,29.05,13,0,9.72
354,LT,Telšiai,55.9814,22.2472,5.52,5.52,97,100,13.572000000000001
355,SE,Norrköping,58.5942,16.1826,2.93,2.99,70,2,7.416
356,IN,Rāīwāla Bara,30.0167,78.2167,22.62,22.62,23,11,9.792000000000002
357,HU,Baktalórántháza,48.0,22.0833,7.57,7.57,95,68,11.592
358,ID,Ternate,0.8,127.4,27.48,27.48,79,61,3.708
359,BR,Santa Inês,-3.6667,-45.38,23.41,23.41,94,49,1.116
360,US,Clarksville,36.5298,-87.3595,27.23,28.1,42,0,22.212
361,MY,Kuang,3.2594,101.5541,24.84,24.84,94,20,0.0
362,UY,Fray Bentos,-33.1325,-58.2956,20.96,20.96,74,15,19.584000000000003
363,RU,Kyzburun Pervyy,43.6517,43.395,10.07,10.07,59,0,11.232000000000001
364,HN,El Socorro,14.6333,-87.9167,22.53,22.53,86,94,2.3760000000000003
365,US,Leesburg,39.1157,-77.5636,24.74,26.67,47,0,22.212
366,IN,Elūr,10.0667,76.2833,25.98,25.98,100,40,5.5440000000000005
367,JP,Nisshin,35.1658,136.964,18.12,18.88,85,29,2.7720000000000002
368,MX,Nicolás R Casillas,20.5333,-103.4667,31.62,33.06,7,0,22.212
369,RU,Lyubertsy,55.6778,37.8833,9.37,10.14,81,100,8.748000000000001
370,DE,Nienburg,52.6333,9.2167,9.0,9.56,93,100,15.659999999999998
371,US,Gardner,42.5751,-71.9981,10.08,12.18,44,20,12.96
372,IN,Pinjaur,30.7972,76.9172,23.62,23.62,17,30,12.420000000000002
373,PE,Calca,-13.3333,-71.95,17.64,17.64,80,97,9.9
374,AU,Albury,-36.0833,146.9167,14.03,15.01,88,100,1.62
375,BR,Aquiraz,-3.9014,-38.3911,27.05,27.05,85,100,14.58
376,BR,Carmo do Rio Verde,-15.3536,-49.7075,25.36,25.36,56,83,3.9240000000000004
377,JP,Hiji,33.3667,131.5333,18.46,18.46,85,59,2.124
378,BR,Ipu,-4.3222,-40.7108,22.87,22.87,92,100,6.084
379,SK,Sobrance,48.7445,22.1814,9.0,10.81,96,98,9.72
380,CO,Suaita,6.1014,-73.4404,16.88,16.88,96,97,1.692
381,FR,Argentan,48.75,-0.0167,6.19,6.19,98,30,9.18
382,BJ,Bembèrèkè,10.2283,2.6634,27.77,27.77,62,100,14.616
383,IN,Afzalgarh,29.4,78.6833,24.22,24.22,21,7,6.912
384,US,Robbinsdale,45.0322,-93.3386,7.21,8.43,68,100,53.712
385,RO,Unirea,44.15,23.1833,13.63,13.63,85,99,10.620000000000001
386,AM,Arevik,40.0994,44.0913,17.59,19.0,42,91,8.028
387,BR,Santa Cruz do Sul,-29.7175,-52.4258,17.27,17.27,79,0,6.768
388,CA,Alliston,44.1501,-79.8663,19.03,23.01,50,97,20.376
389,DK,Nordborg,55.0573,9.7408,6.5,6.94,81,75,7.416
390,FR,Châteaudun,48.0833,1.3333,11.14,12.19,93,67,10.584
391,CO,Aipe,3.2222,-75.2367,30.44,30.44,83,91,5.5440000000000005
392,IT,Celano,42.0855,13.5398,6.88,10.46,89,99,6.444
393,CO,Palmas del Socorro,6.4067,-73.2869,19.6,19.6,94,90,2.3040000000000003
394,IT,Lanuvio,41.6728,12.6976,12.93,13.97,80,40,9.251999999999999
395,PH,Tagaytay,14.115,120.9636,24.0,25.19,75,69,11.124
396,AT,Gänserndorf,48.3392,16.7202,9.45,11.99,81,81,6.66
397,DE,Remscheid,51.1833,7.2,8.56,10.11,87,93,4.752000000000001
398,PH,Santo Tomas,14.1079,121.1414,26.95,28.14,76,66,8.46
399,PH,Rissing,16.8752,120.4345,28.01,28.01,68,6,4.068
400,SL,Yamandu,7.9362,-11.4928,22.92,22.92,96,100,5.724
401,US,Raymond,43.9015,-70.4703,11.21,13.65,28,46,6.84
402,GT,Chahal Guatemala,15.75,-89.5667,28.98,28.98,58,57,10.152
403,DE,Spiesen-Elversberg,49.3167,7.1333,8.16,9.54,92,40,3.708
404,CZ,Mikulčice,48.8164,17.0511,8.59,11.13,96,97,2.4120000000000004
405,CZ,Lomnice nad Popelkou,50.5306,15.3734,6.56,8.23,95,93,2.592
406,MX,Pátzcuaro,19.5167,-101.6,22.39,22.39,34,36,10.332
407,RO,Marca,47.2167,22.5667,10.95,10.95,88,77,8.064000000000002
408,ET,Mēga,4.05,38.3,15.83,15.83,85,89,7.2
409,PH,Salunayan,7.1544,124.4975,25.37,25.37,90,43,2.8800000000000003
410,US,Huber Heights,39.8439,-84.1247,26.19,27.07,37,0,25.92
411,HR,Križevci,46.0219,16.5425,10.89,11.27,71,84,19.08
412,JP,Oyama,36.3,139.8,18.1,18.1,66,67,1.1880000000000002
413,JP,Sasebo,33.1592,129.7228,15.99,15.99,85,84,6.084
414,JP,Akabira,43.5514,142.0531,12.07,12.07,55,67,2.8080000000000003
415,US,Woodlyn,39.8723,-75.3371,17.35,20.21,49,20,22.212
416,RU,Dulyapino,57.2578,40.8147,8.76,8.76,83,100,6.768
417,BO,Lahuachaca,-17.3667,-67.6667,10.86,10.86,49,50,7.056
418,BR,Castro Alves,-12.7656,-39.4283,21.73,21.73,92,0,7.668
419,US,Charter Township of Clinton,42.587,-82.9199,26.06,27.18,50,75,29.628000000000004
420,ID,Mranggen,-7.0268,110.5158,24.91,24.91,88,20,0.0
421,RU,Grushevskaya,47.4406,39.9511,10.49,14.4,87,0,10.8
422,BR,Serrana,-21.2114,-47.5956,24.97,24.97,68,55,5.724
423,US,Gurnee,42.3703,-87.902,19.85,21.04,62,40,42.588
424,ET,Ziway,7.9333,38.7167,20.04,20.04,73,83,7.128
425,IN,Mālpura,26.2833,75.3833,28.88,28.88,12,10,17.676000000000002
426,PH,Lapinig,12.3151,125.3032,26.26,26.26,93,100,11.124
427,DE,Pegnitz,49.7564,11.545,6.82,7.85,56,100,6.012
428,US,Oldsmar,28.0342,-82.6651,27.13,29.58,66,75,11.124
429,GB,Droylsden,53.48,-2.1454,7.28,8.25,72,21,11.124
430,KY,West Bay,19.3667,-81.4167,24.53,25.04,86,75,6.444
431,RU,Pyatigorskiy,43.9742,43.2583,5.93,5.93,72,1,4.104
432,AM,Aygavan,39.8733,44.6698,19.03,19.03,41,100,5.328
433,PH,Matingain,13.9129,120.8801,27.62,27.62,75,73,12.276000000000002
434,GB,Fenwick,53.6387,-1.0976,6.6,8.77,85,0,12.96
435,DK,Middelfart,55.5059,9.7305,6.54,7.39,80,34,19.152
436,BR,Porto Franco,-6.3383,-47.3992,23.58,23.58,93,63,4.104
437,MX,Querétaro,21.0,-99.9167,25.8,25.8,37,36,13.356
438,MX,El Refugio,20.6667,-103.7333,34.97,34.97,8,0,16.128000000000004
439,JP,Kuroiso,36.9667,140.05,17.54,17.54,66,82,0.7200000000000001
440,US,Babylon,40.6957,-73.3257,9.71,11.79,54,0,18.503999999999998
441,BF,Banfora,10.6333,-4.7667,31.6,31.6,14,15,6.84
442,SE,Kumla,59.1277,15.1434,-0.53,-0.03,86,13,9.251999999999999
443,CA,Orangeville,43.9168,-80.0997,17.05,18.22,74,100,22.572
444,TD,Moundou,8.5667,16.0833,30.67,30.67,46,92,13.607999999999999
445,US,Wake Forest,35.9799,-78.5097,26.39,27.36,49,0,9.251999999999999
446,IN,Robertsonpet,12.9667,78.2833,23.34,23.34,62,20,3.3480000000000003
447,PL,Międzyrzecz,52.4446,15.578,10.38,10.69,73,100,17.856
448,RO,Vaideeni,45.1667,23.9333,10.98,10.98,90,79,5.6160000000000005
449,HU,Kadarkút,46.2362,17.6201,9.26,9.26,76,83,10.152
450,CH,Wollerau,47.1948,8.719,8.59,8.92,93,100,16.092
451,IT,Lavello,41.0456,15.7908,7.2,7.2,77,0,10.584
452,HU,Somogyvár,46.5814,17.6629,12.73,12.73,74,85,13.968
453,KG,Kemin,42.7846,75.6892,11.98,11.98,83,93,2.124
454,US,Winston,28.0317,-82.0148,26.04,29.32,68,49,17.712
455,RO,Godeni,45.2333,24.9833,11.5,11.5,91,92,7.884
456,PH,Isabela,6.7085,121.9711,27.03,27.03,82,72,4.752000000000001
457,MY,Pekan Nenas,1.51,103.5141,25.33,26.99,94,94,4.068
458,PH,Lucena City,13.9314,121.6172,27.79,27.79,77,95,7.920000000000001
459,VC,Chateaubelair,13.2833,-61.25,25.12,25.12,73,83,19.404
460,CZ,Nový Bydžov,50.2415,15.4908,6.26,8.31,95,73,6.408
461,JP,Kodaira,35.7264,139.4839,18.3,21.29,85,0,5.5440000000000005
462,SL,Pujehun,7.3581,-11.7208,23.96,23.96,90,100,4.068
463,RU,Kinel',53.2333,50.65,7.58,7.58,72,96,4.896000000000001
464,PE,Huarmey,-10.0681,-78.1522,21.0,21.0,82,36,16.956
465,PH,Libertad,8.9442,125.5019,25.7,25.7,84,85,5.976
466,US,Medford,42.3265,-122.8756,22.48,23.67,34,0,7.416
467,US,Crown Point,41.417,-87.3653,19.9,20.38,86,100,22.212
468,NL,Delfzijl,53.33,6.9181,8.54,9.45,79,37,22.464000000000002
469,IT,Cossato,45.5739,8.1817,10.36,11.87,82,72,5.508
470,ES,Barcelona,41.3888,2.159,13.68,15.46,79,20,3.708
471,RU,Romodanovo,54.4275,45.3296,10.6,10.6,91,100,9.036
472,GR,Patitiri,39.15,23.8667,17.99,17.99,70,76,7.164
473,RO,Iacobeni,47.4333,25.3167,6.4,6.4,77,87,7.920000000000001
474,DE,Niefern-Öschelbronn,48.9167,8.7833,9.65,9.92,97,100,8.892000000000001
475,PA,La Mata,8.0833,-80.8833,27.12,27.12,78,63,11.952
476,BR,São Raimundo Nonato,-9.0153,-42.6994,25.64,25.64,51,99,5.184
477,ID,Ambulu,-8.345,113.6058,24.53,24.53,90,92,4.644
478,PH,Binuang,5.9569,121.06,26.49,26.49,84,84,2.8080000000000003
479,MX,Tuxtla Gutiérrez,16.75,-93.1167,33.45,33.45,31,21,6.156
480,RU,Khalimbekaul,42.846,47.1387,4.57,4.57,66,81,5.904
481,GH,Mampong,7.0627,-1.4001,21.66,21.66,91,98,5.796
482,RU,Shaygino,57.7675,46.8618,4.92,4.92,96,93,9.936
483,DK,Framlev,56.1566,10.0132,6.31,6.91,74,20,13.68
484,DE,Laichingen,48.4894,9.6861,6.12,6.51,97,100,9.0
485,US,Elkhart,41.5823,-85.8344,18.32,20.83,92,100,24.084000000000003
486,DE,Walldürn,49.5833,9.3667,5.2,7.32,91,100,2.8800000000000003
487,PT,Lourosa,40.9842,-8.5514,11.31,11.91,90,90,6.264
488,ID,Karawang,-6.3042,107.3079,28.89,28.89,88,74,3.096
489,IT,Trepuzzi,40.4056,18.0756,10.94,15.69,87,0,3.708
490,ID,Leuwiliang,-6.5745,106.6344,21.94,27.6,95,89,1.62
491,CG,Pointe-Noire,-4.7761,11.8635,25.77,25.77,90,92,7.344
492,RU,Akusha,42.2688,47.3411,9.72,9.72,58,98,5.58
493,RU,Krasnyy Yar,46.5331,48.3456,7.96,7.96,74,100,7.236
494,US,La Grange Park,41.8348,-87.8617,19.92,20.9,75,94,18.791999999999998
495,ZA,Bredasdorp,-34.5322,20.0403,14.23,14.23,73,78,8.928
496,CR,Alajuela,10.0167,-84.2167,21.9,24.45,93,75,14.832
497,LK,Polonnaruwa,7.9333,81.0,24.21,24.21,93,31,3.744
498,PE,San Jerónimo,-11.9472,-75.2829,11.83,11.83,72,87,11.916
499,DK,Horsens,55.8607,9.8503,6.69,7.37,78,34,14.328
